yisuv name,yisuv id,קלפי,rikuz,מצביעים,כשרים,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ2,ק,קי,קך,קנ,קץ,רז,שס,ת,
אבטין,652,2,1,237,234,0,0,0,0,25,77,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,
אבטין,652,3.1,2,190,190,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,138,4,0,0,0,0,0,0,0,0,0,1,0,
אבטין,652,3.2,2,193,193,0,0,0,0,16,27,0,0,0,0,1,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,134,6,0,0,0,0,0,1,0,0,0,0,0,
אבטליון,1275,1,1,244,244,32,2,5,0,0,5,0,0,0,0,5,0,4,0,0,0,25,0,5,24,24,0,0,0,0,0,0,1,105,0,0,0,0,0,0,0,7,0,0,0,
אביאל,679,1,1,405,402,36,0,2,2,1,3,0,0,0,0,17,0,0,0,0,0,77,0,3,71,46,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,15,0,2,0,
אביבים,1115,1,1,271,270,0,0,2,5,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,
אביגדור,819,1,1,486,483,38,1,3,1,0,0,0,0,0,0,31,0,0,0,0,0,100,0,1,52,26,0,1,0,0,0,0,1,218,0,1,0,0,0,0,0,0,0,9,0,
אביחיל,175,1,1,276,275,27,0,1,0,1,1,0,0,0,0,18,0,1,0,0,0,48,0,7,34,31,0,0,0,0,0,0,1,100,0,0,0,1,0,0,0,4,0,0,0,
אביחיל,175,2,2,422,419,41,2,0,0,0,2,0,0,0,0,10,0,2,1,0,0,68,0,10,64,37,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,10,0,2,0,
אביטל,2052,1,1,328,327,2,0,7,6,0,0,0,0,0,0,86,0,1,0,0,0,33,0,2,154,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,28,0,
אביעזר,1070,1,2,497,496,37,4,2,1,1,7,0,0,0,0,65,1,2,0,0,0,60,0,13,174,21,0,0,0,0,1,0,0,89,0,0,0,0,0,0,0,2,0,16,0,
אבירים,1220,1,1,152,150,29,1,0,0,0,3,0,0,0,0,3,0,1,0,0,0,12,0,4,6,38,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,9,0,0,0,
אבן יהודה,182,1.1,2,422,422,13,0,5,5,0,0,0,0,0,0,34,0,2,0,0,0,63,0,3,134,21,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,1,0,15,0,
אבן יהודה,182,1.2,2,438,438,16,1,5,4,0,0,0,0,0,0,55,0,1,0,0,0,52,0,6,167,15,0,0,0,0,0,0,0,97,0,1,0,0,0,0,0,2,0,16,0,
אבן יהודה,182,1.3,2,423,422,14,3,6,5,0,0,0,0,0,0,68,0,2,0,0,0,56,0,12,149,9,0,0,0,0,0,0,0,77,0,2,0,0,0,0,0,0,0,19,0,
אבן יהודה,182,2,12,416,416,20,1,2,2,0,0,0,0,0,0,29,0,2,0,0,0,61,0,7,118,12,0,0,0,0,1,0,0,128,0,1,0,1,0,0,0,4,1,26,0,
אבן יהודה,182,3,9,553,553,37,2,8,0,0,3,0,0,0,0,13,0,0,0,0,0,97,0,23,74,32,0,1,0,0,0,0,1,257,0,0,0,2,0,0,0,0,0,3,0,
אבן יהודה,182,5,5,440,440,24,0,6,2,0,1,0,0,0,0,45,0,1,0,0,0,65,0,1,104,24,0,0,0,0,0,0,1,151,0,2,0,0,0,2,0,2,0,9,0,
אבן יהודה,182,6,7,531,531,36,0,0,1,0,2,0,0,0,0,23,0,2,0,0,0,87,0,9,82,27,0,0,0,0,0,0,1,255,0,1,0,0,0,0,0,3,0,2,0,
אבן יהודה,182,9.1,4,468,464,41,3,0,0,0,0,0,0,0,0,16,0,2,0,0,0,80,0,5,76,22,0,0,0,0,0,0,0,211,0,1,0,0,0,0,0,4,0,3,0,
אבן יהודה,182,9.2,4,450,449,50,1,3,0,0,1,0,0,0,0,9,0,1,0,0,0,66,0,8,66,30,0,0,0,0,0,0,0,209,0,1,0,0,0,0,0,1,0,3,0,
אבן יהודה,182,9.3,4,449,449,30,1,0,1,0,1,0,0,0,0,14,3,4,0,0,0,79,0,10,59,19,0,0,0,0,0,0,1,220,0,1,0,0,0,0,0,4,0,2,0,
אבן יהודה,182,9.4,4,449,449,33,1,2,3,0,0,0,0,0,0,21,0,1,0,0,0,73,0,5,55,31,0,1,0,0,0,0,1,220,0,0,0,0,0,0,0,1,0,1,0,
אבן יהודה,182,9.5,4,463,457,42,0,1,1,2,0,0,0,0,0,19,0,0,0,0,0,82,0,8,73,29,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,3,0,5,0,
אבן יהודה,182,9.6,4,466,465,40,0,2,0,0,0,0,0,0,0,11,2,2,0,0,0,83,0,13,48,31,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,1,0,3,0,
אבן יהודה,182,10,3,462,458,29,0,5,1,0,1,0,0,0,0,30,0,1,0,0,0,61,0,7,105,19,0,0,0,0,0,0,0,183,0,2,0,1,0,0,0,6,0,7,0,
אבן יהודה,182,11,10,379,377,33,0,3,0,0,3,0,0,0,0,9,0,1,0,0,0,45,0,4,75,22,0,0,0,0,0,0,2,174,0,1,1,0,0,0,1,1,0,2,0,
אבן יהודה,182,12,12,503,503,42,0,8,1,0,2,0,0,0,0,10,0,0,0,0,0,63,0,10,80,48,0,0,0,0,0,0,1,228,0,0,0,0,0,0,0,2,0,8,0,
אבן יהודה,182,17,10,400,400,40,1,3,0,0,0,0,0,0,0,10,0,1,0,0,0,65,0,11,44,19,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,2,0,2,0,
אבן מנחם,1081,1,1,194,194,5,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,23,0,1,89,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,33,0,
אבן ספיר,783,1,2,369,368,12,1,4,3,0,0,0,0,0,0,42,0,1,0,0,0,48,0,2,181,10,0,0,0,0,1,0,0,41,0,0,0,0,0,0,0,3,0,18,1,
אבן שמואל,400,1,1,428,428,2,0,22,9,0,0,0,0,0,0,241,0,0,0,0,0,11,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32,0,
אבן שמואל,400,2,1,477,476,2,0,22,5,0,0,0,0,0,0,241,0,0,0,0,0,8,0,0,139,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,54,0,
אבני איתן,4011,1,1,325,324,0,2,28,1,0,0,0,0,0,0,206,0,1,0,0,0,17,0,3,47,2,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,6,0,
אבני חפץ,3793,4.1,3,528,525,0,0,11,2,0,0,0,0,0,0,369,0,2,0,0,0,4,0,0,81,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,53,0,
אבני חפץ,3793,4.2,3,521,519,0,0,12,8,0,0,0,0,0,0,356,0,0,0,0,0,3,0,0,91,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,45,0,
אבשלום,1311,1,1,199,196,3,0,0,2,1,0,0,0,0,0,33,0,1,0,1,0,19,0,49,47,10,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,1,0,
אדורה,3759,1,1,208,207,1,0,11,1,0,0,0,0,0,0,109,0,0,0,0,0,18,0,4,43,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,
אדירים,113,1,1,177,176,1,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,0,0,68,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,68,0,
אדמית,1068,1,1,205,205,26,2,2,0,2,4,0,0,0,0,11,0,0,0,0,0,20,0,10,37,35,0,0,0,0,0,0,4,49,0,1,0,0,0,0,0,1,0,0,1,
אדרת,1123,1,1,443,443,10,1,18,2,0,0,0,0,0,0,95,0,0,0,0,0,35,0,2,202,3,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,0,49,0,
אודים,446,1,1,294,292,33,0,1,0,0,0,0,0,0,0,10,0,3,0,0,0,41,0,10,33,25,0,0,0,0,0,0,0,131,0,1,0,0,0,0,0,1,0,3,0,
אודים,446,2,1,323,322,34,0,3,1,0,3,0,0,0,0,9,0,2,0,0,0,51,0,4,36,31,0,2,0,0,0,0,0,140,0,0,0,0,0,0,0,3,0,3,0,
אודם,4010,1,1,99,98,10,1,3,0,0,0,2,0,0,0,7,1,0,0,0,0,19,0,1,17,2,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,4,0,0,0,
אוהד,1046,1,1,200,200,15,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,35,0,4,78,3,0,0,0,0,0,0,3,30,0,2,0,0,0,0,0,0,0,6,0,
אום אלפחם,2710,7.1,27,134,132,0,0,0,0,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,
אום אלפחם,2710,7.2,27,119,119,1,0,0,0,55,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,
אום אלפחם,2710,10,8,397,394,3,0,0,0,116,120,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,144,0,0,0,1,0,0,0,0,0,0,0,0,
אום אלפחם,2710,11,9,274,272,3,0,0,0,91,127,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,42,0,1,0,2,0,0,0,0,0,0,1,0,
אום אלפחם,2710,12,10,176,174,0,0,0,2,67,68,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,
אום אלפחם,2710,14,12,222,219,5,0,0,0,84,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,
אום אלפחם,2710,16.1,16,261,261,0,0,0,0,102,106,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,
אום אלפחם,2710,16.2,16,274,272,1,0,0,0,109,106,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,46,1,0,0,1,0,0,1,0,0,0,0,1,
אום אלפחם,2710,16.3,16,253,245,1,0,0,0,89,100,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,1,0,
אום אלפחם,2710,16.4,16,268,261,2,0,0,0,108,110,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,31,0,0,0,1,0,0,0,0,0,0,0,1,
אום אלפחם,2710,16.5,4,232,232,0,0,0,1,90,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,2,0,
אום אלפחם,2710,18.1,15,184,183,1,0,0,0,58,90,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,26,0,0,0,1,0,0,1,0,1,0,0,0,
אום אלפחם,2710,18.2,15,150,147,0,0,0,0,48,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,
אום אלפחם,2710,18.3,34,173,171,0,0,0,0,63,79,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,
אום אלפחם,2710,20,17,249,243,0,0,0,0,76,119,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,
אום אלפחם,2710,22.1,31,272,266,0,0,0,0,94,125,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,2,0,
אום אלפחם,2710,22.2,31,281,275,0,0,0,1,91,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,
אום אלפחם,2710,23.1,1,282,275,0,0,0,2,114,97,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,50,0,0,0,2,1,1,0,0,0,1,3,0,
אום אלפחם,2710,23.2,1,285,283,2,1,0,0,117,106,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,46,1,0,0,1,0,0,0,0,1,0,1,0,
אום אלפחם,2710,23.3,1,258,255,0,0,0,0,112,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,0,
אום אלפחם,2710,26.1,30,186,183,0,0,1,1,68,77,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,
אום אלפחם,2710,26.2,30,191,185,1,0,1,0,62,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,46,1,0,0,2,0,0,0,0,0,0,1,0,
אום אלפחם,2710,26.3,30,160,160,1,0,0,0,48,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,30,0,0,1,1,0,0,0,0,0,0,0,0,
אום אלפחם,2710,27,10,186,185,0,0,0,0,50,100,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,1,0,
אום אלפחם,2710,31,21,276,274,0,0,0,0,89,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,1,0,
אום אלפחם,2710,32.1,13,237,235,2,0,0,0,115,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39,0,2,0,0,0,0,0,0,0,0,0,1,
אום אלפחם,2710,32.2,13,231,229,1,0,0,0,99,75,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,46,1,0,0,0,0,0,0,0,0,1,0,1,
אום אלפחם,2710,32.3,13,286,283,0,0,0,0,107,127,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,1,
אום אלפחם,2710,33,8,295,295,2,1,0,1,79,162,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0,
אום אלפחם,2710,34.1,26,227,222,1,0,0,0,108,80,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,24,0,0,0,2,0,0,0,0,0,0,1,0,
אום אלפחם,2710,34.2,26,267,256,0,1,0,0,106,88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,52,2,1,0,1,0,0,0,0,0,0,0,0,
